Qulity_Improvement,Community_Health,Patient_Health,Peformance,Competence,Learning,Satisfaction,Participation,Tab,Type
20,5,25,50,50,10,125,50,0,CGN
0,10,0,50,150,190,125,250,0,Non Solicited
4,1,5,10,10,2,25,10,1,CGN
0,2,0,10,30,38,25,50,1,Non Solicited
4,1,5,10,10,2,25,10,2,CGN
0,2,0,10,30,38,25,50,2,Non Solicited
4,1,5,10,10,2,25,10,3,CGN
0,2,0,10,30,38,25,50,3,Non Solicited
4,1,5,10,10,2,25,10,4,CGN
0,2,0,10,30,38,25,50,4,Non Solicited
4,1,5,10,10,2,25,10,5,CGN
0,2,0,10,30,38,25,50,5,Non Solicited